相对强度 运行#3	位置 (米 m) 运行#3
0.033356	5.9175E-4
0.034073	5.9175E-4
0.031631	5.9175E-4
0.033356	5.9175E-4
0.033051	5.9175E-4
0.034576	5.9175E-4
0.031433	5.9175E-4
0.032852	5.9175E-4
0.032242	5.9175E-4
0.034271	5.9175E-4
0.032959	5.9175E-4
0.032242	5.9175E-4
0.034378	5.9175E-4
0.032959	5.9175E-4
0.033356	5.9175E-4
0.033264	5.9175E-4
0.032242	5.9175E-4
0.034988	5.9175E-4
0.033356	5.9175E-4
0.033875	5.9175E-4
0.032135	5.9175E-4
0.034073	5.9175E-4
0.030518	5.9175E-4
0.031631	5.9175E-4
0.032135	5.9175E-4
0.033768	5.9175E-4
0.032852	5.9175E-4
0.032043	5.9175E-4
0.032959	5.9175E-4
0.031219	5.9175E-4
0.032654	5.9175E-4
0.034180	5.9175E-4
0.032547	5.9175E-4
0.034485	5.9175E-4
0.033463	5.9175E-4
0.033875	5.9175E-4
0.032654	5.9175E-4
0.033264	5.9175E-4
0.033661	5.9175E-4
0.033157	5.9175E-4
0.032654	5.9175E-4
0.034378	5.9175E-4
0.031525	5.9175E-4
0.032959	5.9175E-4
0.032547	5.9175E-4
0.034271	5.9175E-4
0.031738	5.9175E-4
0.033875	5.9175E-4
0.033264	5.9175E-4
0.032654	5.9175E-4
0.033356	5.9175E-4
0.034073	5.9175E-4
0.031631	5.9175E-4
0.033463	5.9175E-4
0.032135	5.9175E-4
0.033157	5.9175E-4
0.031326	5.9175E-4
0.034073	5.9175E-4
0.032242	5.9175E-4
0.034683	5.9175E-4
0.034683	5.9175E-4
0.034271	6.1147E-4
0.030411	6.1147E-4
0.031738	6.1147E-4
0.034180	6.1147E-4
0.033264	6.1147E-4
0.031738	6.1147E-4
0.033966	6.1147E-4
0.033264	6.1147E-4
0.033569	6.1147E-4
0.032135	6.1147E-4
0.033768	6.1147E-4
0.032547	6.1147E-4
0.034988	6.1147E-4
0.033661	6.1147E-4
0.031937	6.1147E-4
0.032959	6.1147E-4
0.033661	6.1147E-4
0.032242	6.1147E-4
0.034271	6.1147E-4
0.032745	6.1147E-4
0.032654	6.1147E-4
0.033264	6.1147E-4
0.033966	6.1147E-4
0.033356	6.1147E-4
0.033356	6.1147E-4
0.032547	6.1147E-4
0.031937	6.1147E-4
0.032852	6.1147E-4
0.034180	6.1147E-4
0.034073	6.1147E-4
0.031830	6.1147E-4
0.033264	6.1147E-4
0.033051	6.1147E-4
0.032440	6.1147E-4
0.034271	6.1147E-4
0.033875	6.1147E-4
0.032654	6.1147E-4
0.032959	6.1147E-4
0.033463	6.1147E-4
0.034073	6.1147E-4
0.032242	6.1147E-4
0.033356	6.1147E-4
0.033966	6.1147E-4
0.032242	6.1147E-4
0.034073	6.1147E-4
0.032852	6.1147E-4
0.034180	6.1147E-4
0.032440	6.1147E-4
0.034073	6.1147E-4
0.032349	6.1147E-4
0.033356	6.1147E-4
0.033768	6.1147E-4
0.032440	6.1147E-4
0.033661	6.1147E-4
0.030823	6.1147E-4
0.034271	6.1147E-4
0.034988	6.1147E-4
0.034378	6.1147E-4
0.033157	6.1147E-4
0.034378	6.3120E-4
0.031326	6.7065E-4
0.033356	6.7065E-4
0.033768	7.1010E-4
0.032852	7.2982E-4
0.032959	7.6927E-4
0.031433	7.8900E-4
0.033966	8.2845E-4
0.032242	8.6790E-4
0.033966	9.4680E-4
0.033463	0.0010060
0.033356	0.0010849
0.034180	0.0011835
0.033356	0.0013019
0.030609	0.0014399
0.034073	0.0015780
0.032440	0.0017358
0.032745	0.0019133
0.033569	0.0020711
0.033966	0.0022289
0.031525	0.0023473
0.034073	0.0024656
0.032135	0.0025643
0.031631	0.0026432
0.033463	0.0027221
0.034882	0.0027812
0.033768	0.0028404
0.033157	0.0029193
0.033264	0.0029785
0.033966	0.0030574
0.032852	0.0031363
0.032959	0.0032152
0.032349	0.0033138
0.034882	0.0034124
0.033463	0.0034716
0.034271	0.0035505
0.031219	0.0036097
0.031738	0.0036491
0.034073	0.0036688
0.032745	0.0036886
0.032242	0.0037083
0.035187	0.0037083
0.032745	0.0037083
0.033157	0.0037083
0.034485	0.0037083
0.033875	0.0037083
0.031219	0.0037083
0.033661	0.0037083
0.034882	0.0037083
0.032135	0.0037083
0.033569	0.0037083
0.032959	0.0037083
0.034271	0.0037083
0.032547	0.0037083
0.031433	0.0037083
0.034378	0.0037083
0.031830	0.0037083
0.033051	0.0037083
0.033661	0.0037280
0.031433	0.0037280
0.034485	0.0037280
0.032547	0.0037280
0.031738	0.0037280
0.034485	0.0037280
0.032654	0.0037280
0.032547	0.0037280
0.033661	0.0037477
0.032959	0.0037477
0.033875	0.0037675
0.033264	0.0037675
0.032349	0.0037872
0.033768	0.0037872
0.033264	0.0037872
0.033661	0.0038069
0.031219	0.0038069
0.033875	0.0038069
0.034378	0.0038069
0.033051	0.0038069
0.033569	0.0038069
0.031631	0.0038069
0.034180	0.0038069
0.033051	0.0038069
0.032043	0.0038069
0.032745	0.0038069
0.032135	0.0038069
0.034683	0.0038069
0.032135	0.0038069
0.033157	0.0038069
0.034576	0.0038069
0.034576	0.0038069
0.032654	0.0038069
0.034683	0.0038069
0.034073	0.0038069
0.033463	0.0038266
